Station	Year	Month	Tmin	NB_Tmin	TNAB	TNDAT	Tmax	NB_Tmax	TXAB	TXDAT	TM	rainfall	ND_rainfall	insolat	ND_insolat
Rochambeau	2001	1	23.2	31	20.5	29	28.8	31	30.2	7	26.0	336.6	31	4728	31
Rochambeau	2001	2	23.4	28	21.2	27	29.0	28	30.2	4	26.2	283.2	28	4680	28
Rochambeau	2001	3	23.6	31	20.5	18	30.1	31	31.1	9	26.9	128.4	31	8337	31
Rochambeau	2001	4	23.3	30	21.0	19	29.8	30	31.4	25	26.6	213.6	30	6876	30
Rochambeau	2001	5	23.8	31	21.8	26	30.2	31	31.7	16	27.0	668.8	31	7836	31
Rochambeau	2001	6	22.6	30	21.5	7	30.0	30	31.8	25	26.3	598.4	30	9264	30
Rochambeau	2001	7	22.1	31	21.2	26	31.3	31	33.6	29	26.7	282.2	31	12642	31
Rochambeau	2001	8	22.3	31	21.2	4	31.7	31	32.9	26	27.0	141.8	31	13764	31
Rochambeau	2001	9	22.4	30	21.1	1	32.2	30	33.4	26	27.3	155.0	30	15624	30
Rochambeau	2001	10	22.2	31	20.3	6	32.3	31	34.0	18	27.3	58.2	31	15312	31
Rochambeau	2001	11	22.4	30	21.0	11	31.7	30	32.7	25	27.0	64.0	30	13890	30
Rochambeau	2001	12	23.4	31	21.9	14	30.9	31	33.1	14	27.1	434.0	31	9048	31
Rochambeau	2002	1	22.7	31	20.5	7	29.3	31	31.7	7	26.0	512.0	31	7440	31
Rochambeau	2002	2	23.7	28	21.9	9	29.1	28	30.8	27	26.4	312.4	28	3867	28
Rochambeau	2002	3	23.5	31	22.0	12	29.6	31	30.9	27	26.5	680.6	31	5712	31
Rochambeau	2002	4	23.5	30	22.4	12	30.0	30	31.8	15	26.7	737.4	30	6852	30
Rochambeau	2002	5	23.6	31	22.2	10	30.0	31	31.7	26	26.8	617.4	31	5730	31
Rochambeau	2002	6	22.9	30	21.6	10	30.1	30	31.5	9	26.5	498.0	30	7776	30
Rochambeau	2002	7	22.6	31	21.1	28	31.4	31	33.7	26	27.0	173.6	31	12738	31
Rochambeau	2002	8	22.5	31	21.3	16	31.3	31	33.5	17	26.9	136.0	31	12108	31
Rochambeau	2002	9	22.0	30	19.8	19	32.2	30	33.8	11	27.1	43.2	30	15360	30
Rochambeau	2002	10	21.8	31	20.4	10	32.2	31	33.1	18	27.0	20.4	31	16326	31
Rochambeau	2002	11	22.6	30	21.4	12	31.4	30	32.6	3	27.0	166.0	30	12288	30
Rochambeau	2002	12	23.8	31	21.5	20	29.6	31	30.5	20	26.7	396.8	31	5289	31
Rochambeau	2003	1	23.7	31	20.8	26	29.3	31	30.2	29	26.5	127.6	31	6108	31
Rochambeau	2003	2	23.8	28	21.7	14	29.2	28	30.2	13	26.5	155.6	28	4944	28
Rochambeau	2003	3	23.2	31	20.4	17	29.9	31	31.5	31	26.6	146.2	31	8526	31
Rochambeau	2003	4	24.2	30	21.5	21	30.4	30	31.1	24	27.3	335.0	30	7608	30
Rochambeau	2003	5	23.5	31	21.8	26	29.8	31	31.7	9	26.6	581.6	31	6073	31
Rochambeau	2003	6	23.0	30	21.6	12	30.5	30	32.1	9	26.7	456.2	30	9318	30
Rochambeau	2003	7	22.5	31	21.7	19	30.7	31	32.8	19	26.6	270.4	31	11472	31
Rochambeau	2003	8	22.3	31	21.3	13	32.4	31	33.9	24	27.4	23.6	31	15906	31
Rochambeau	2003	9	22.5	30	21.2	15	32.6	30	34.5	1	27.6	71.6	30	13902	30
Rochambeau	2003	10	22.2	31	20.9	6	32.7	31	34.0	13	27.5	59.6	31	15384	31
Rochambeau	2003	11	22.9	30	21.4	5	31.9	30	33.2	3	27.4	113.2	30	12198	30
Rochambeau	2003	12	23.1	31	21.7	21	30.6	31	32.2	5	26.8	308.6	31	8916	31
Rochambeau	2004	1	22.9	31	20.4	25	29.8	31	31.0	14	26.3	189.8	31	4226	31
Rochambeau	2004	2	23.6	29	21.8	15	29.9	29	31.1	23	26.8	90.6	29	6396	29
Rochambeau	2004	3	24.1	31	22.6	11	29.5	31	31.2	30	26.8	350.0	31	4092	31
Rochambeau	2004	4	23.4	30	21.5	20	30.2	30	32.1	5	26.8	605.2	30	8382	30
Rochambeau	2004	5	23.6	31	22.2	28	30.3	31	31.9	21	26.9	395.0	31	7638	31
Rochambeau	2004	6	22.7	30	21.0	8	30.2	30	32.0	14	26.5	412.4	30	7866	30
Rochambeau	2004	7	22.5	31	21.3	19	31.0	31	32.4	14	26.7	245.4	31	12360	31
Rochambeau	2004	8	22.2	31	21.2	3	31.7	31	32.8	27	27.0	95.5	31	14734	31
Rochambeau	2004	9	22.6	30	21.6	18	32.5	30	33.7	30	27.5	111.0	30	15180	30
Rochambeau	2004	10	22.6	31	21.4	8	32.7	31	33.7	20	27.7	54.8	31	15014	31
Rochambeau	2004	11	22.3	30	21.0	11	32.3	30	33.4	3	27.3	136.6	30	14358	30
Rochambeau	2004	12	22.4	31	20.9	12	32.1	31	34.1	3	27.2	74.6	31	13507	31
Rochambeau	2005	1	23.5	31	21.8	4	30.4	31	32.5	1	27.0	540.6	31	7404	31
Rochambeau	2005	2	23.7	28	21.5	13	30.5	28	31.9	1	27.1	191.4	28	6524	28
Rochambeau	2005	3	23.9	31	21.6	24	30.5	31	31.5	22	27.2	226.0	31	7482	31
Rochambeau	2005	4	23.9	30	22.8	30	29.8	30	31.9	20	26.9	734.2	30	4046	30
Rochambeau	2005	5	23.7	31	21.9	22	30.7	31	32.6	19	27.2	422.8	31	8898	31
Rochambeau	2005	6	22.9	30	21.6	28	31.2	30	33.1	15	27.1	222.2	30	11316	30
Rochambeau	2005	7	23.0	31	21.9	24	31.1	31	32.8	2	27.0	150.0	31	11004	31
Rochambeau	2005	8	22.5	31	21.2	27	31.7	31	33.4	7	27.1	162.4	31	11166	31
Rochambeau	2005	9	22.6	30	19.9	29	32.6	30	33.5	26	27.6	46.2	30	15732	30
Rochambeau	2005	10	22.7	31	21.5	18	32.8	31	34.0	1	27.7	15.4	31	15642	31
Rochambeau	2005	11	23.1	30	21.6	11	32.1	30	33.0	1	27.6	111.8	30	13128	30
Rochambeau	2005	12	23.3	31	21.6	6	30.0	31	32.1	15	26.6	615.4	31	6762	31
Rochambeau	2006	1	23.3	31	21.3	10	29.0	31	30.8	31	26.1	869.0	31	4080	31
Rochambeau	2006	2	23.4	28	21.1	13	29.5	28	30.9	24	26.5	283.0	28	5376	28
Rochambeau	2006	3	24.0	31	21.8	31	29.9	31	31.1	21	27.0	331.4	31	7752	31
Rochambeau	2006	4	23.4	30	21.5	7	29.8	30	31.5	3	26.6	579.0	30	7089	30
Rochambeau	2006	5	23.4	31	21.9	19	29.7	31	31.3	18	26.5	674.8	31	6787	31
Rochambeau	2006	6	22.9	30	20.7	20	30.1	30	32.4	12	26.5	503.6	30	6812	30
Rochambeau	2006	7	22.8	31	21.5	19	31.0	31	32.4	25	26.9	260.6	31	11952	31
Rochambeau	2006	8	22.8	31	21.2	1	31.9	31	33.3	9	27.4	115.6	31	14010	31
Rochambeau	2006	9	22.3	30	20.9	7	32.6	30	33.8	5	27.5	61.2	30	16045	30
Rochambeau	2006	10	22.7	31	21.3	27	32.7	31	34.1	8	27.7	131.2	31	13687	31
Rochambeau	2006	11	22.6	30	20.3	17	31.3	30	32.3	16	27.0	152.4	30	11203	30
Rochambeau	2006	12	23.0	31	20.9	25	30.0	31	33.0	2	26.5	434.8	31	7595	31
Rochambeau	2007	1	23.9	31	22.1	18	29.9	31	31.1	19	26.9	271.4	31	6024	31
Rochambeau	2007	2	23.0	28	20.7	19	30.1	28	31.3	28	26.6	144.2	28	8169	28
Rochambeau	2007	3	23.6	31	21.3	21	29.6	31	31.2	31	26.6	525.4	31	5591	31
Rochambeau	2007	4	23.7	30	21.7	26	30.0	30	31.9	19	26.8	553.1	30	7162	30
Rochambeau	2007	5	23.7	31	22.2	2	29.9	31	31.8	12	26.8	647.0	31	6746	31
Rochambeau	2007	6	23.0	30	21.5	29	30.7	30	31.8	29	26.8	407.0	30	8696	30
Rochambeau	2007	7	22.7	31	21.7	26	31.3	31	32.9	31	27.0	250.4	31	12415	31
Rochambeau	2007	8	22.8	31	21.4	31	32.1	31	33.5	4	27.5	128.2	31	12906	31
Rochambeau	2007	9	22.4	30	21.5	25	32.3	30	33.8	22	27.4	27.4	30	14391	30
Rochambeau	2007	10	22.5	31	21.3	24	32.6	31	33.7	5	27.5	47.0	31	13996	31
Rochambeau	2007	11	22.9	30	21.7	5	31.5	30	33.1	6	27.2	87.4	30	12587	30
Rochambeau	2007	12	23.1	31	21.9	19	29.7	31	31.7	4	26.4	622.0	31	5830	31
Rochambeau	2008	1	23.3	31	21.0	28	29.4	31	30.6	11	26.3	258.2	31	5374	31
Rochambeau	2008	2	23.5	29	20.9	1	28.6	29	30.0	13	26.0	636.6	29	3561	29
Rochambeau	2008	3	22.6	31	19.5	17	29.0	31	30.6	17	25.8	318.8	31	5428	31
Rochambeau	2008	4	23.8	30	22.0	1	29.7	30	31.9	25	26.7	363.6	30	6046	30
Rochambeau	2008	5	23.5	31	22.1	26	29.7	31	31.9	14	26.6	676.0	31	6086	31
Rochambeau	2008	6	22.9	30	21.8	3	30.2	30	33.1	10	26.6	334.0	30	9492	30
Rochambeau	2008	7	22.2	31	21.0	22	30.6	31	32.0	1	26.4	444.2	31	10610	31
Rochambeau	2008	8	22.7	31	21.2	29	32.3	31	33.8	13	27.5	91.2	31	15329	31
Rochambeau	2008	9	22.5	30	21.3	1	33.0	30	34.1	27	27.7	14.2	30	15923	30
Rochambeau	2008	10	22.2	31	20.8	21	33.2	31	34.1	31	27.7	10.0	31	15783	31
Rochambeau	2008	11	22.2	30	20.0	4	33.0	30	34.2	13	27.6	19.0	30	15018	30
Rochambeau	2008	12	22.9	31	21.4	15	31.2	31	33.1	8	27.0	344.8	31	9709	31
Rochambeau	2009	1	23.3	31	21.4	8	29.1	31	31.5	8	26.2	869.0	31	5288	31
Rochambeau	2009	2	23.7	28	22.3	27	29.3	28	30.7	4	26.5	531.0	28	4596	28
Rochambeau	2009	3	23.5	31	21.7	17	30.3	31	31.7	22	26.9	386.6	31	10197	31
Rochambeau	2009	4	23.6	30	22.3	23	30.5	30	31.7	1	27.0	365.4	30	8892	30
Rochambeau	2009	5	23.7	31	21.9	4	30.7	31	31.9	18	27.2	238.8	31	10469	31
Rochambeau	2009	6	23.4	30	21.7	22	30.6	30	32.8	24	27.0	379.8	30	9543	30
Rochambeau	2009	7	22.4	31	20.6	25	31.3	31	33.3	26	26.9	282.2	31	11762	31
Rochambeau	2009	8	22.7	31	20.8	29	32.3	31	33.8	31	27.5	92.0	31	14760	31
Rochambeau	2009	9	22.1	30	20.7	17	32.8	30	33.9	1	27.5	36.4	30	16328	30
Rochambeau	2009	10	22.5	31	19.9	16	32.5	31	34.3	5	27.5	62.6	31	14175	31
Rochambeau	2009	11	22.5	30	20.6	3	32.0	30	33.2	17	27.2	98.2	30	13271	30
Rochambeau	2009	12	23.8	31	21.9	22	30.1	31	31.2	8	26.9	261.8	31	6912	31
Rochambeau	2010	1	24.2	31	22.2	2	29.7	31	30.9	25	26.9	323.2	31	5904	31
Rochambeau	2010	2	24.2	28	20.7	15	30.2	28	31.4	14	27.2	228.2	28	5803	28
Rochambeau	2010	3	24.8	31	22.2	12	31.1	31	32.2	12	28.0	251.7	31	8271	31
Rochambeau	2010	4	24.2	30	22.8	11	31.2	30	33.0	21	27.7	504.9	30	7914	30
Rochambeau	2010	5	24.1	31	22.4	2	30.6	31	32.9	15	27.3	793.7	31	5005	31
Rochambeau	2010	6	23.3	30	22.1	21	31.3	30	33.7	3	27.3	262.5	30	9089	30
Rochambeau	2010	7	23.0	31	21.6	17	31.6	31	33.5	31	27.3	316.0	31	10935	31
Rochambeau	2010	8	22.9	31	22.0	29	32.5	31	33.7	1	27.7	128.3	31	13220	31
Rochambeau	2010	9	22.9	30	21.8	12	33.0	30	34.0	28	27.9	44.9	30	14643	30
Rochambeau	2010	10	22.8	31	21.4	23	33.3	31	34.6	4	28.1	30.0	31	15355	31
Rochambeau	2010	11	22.4	30	20.5	1	32.2	30	34.2	1	27.3	129.9	30	12414	30
Rochambeau	2010	12	22.8	31	21.0	2	30.5	31	32.2	9	26.6	523.9	31	8906	31
Rochambeau	2011	1	23.0	31	20.4	11	30.1	31	31.3	6	26.5	213.5	31	8391	31
Rochambeau	2011	2	23.2	28	19.9	28	29.3	28	31.1	26	26.2	482.2	28	4790	28
Rochambeau	2011	3	23.5	31	20.8	2	29.9	31	31.2	8	26.7	467.1	31	6132	31
Rochambeau	2011	4	23.4	30	21.1	17	30.7	30	32.0	29	27.0	172.2	30	10016	30
Rochambeau	2011	5	23.8	31	22.9	26	30.1	31	32.1	28	26.9	787.3	31	6410	31
Rochambeau	2011	6	23.1	30	22.1	25	31.1	30	32.2	6	27.1	426.1	30	10389	30
Rochambeau	2011	7	22.7	31	20.9	6	31.3	31	33.3	30	27.0	268.2	31	12014	31
Saint Georges	2001	1	21.9	31	20.1	21	29.0	31	30.8	26	25.5	539.0	31	4620	31
Saint Georges	2001	2	22.3	28	20.5	3	29.7	28	30.8	10	26.0	223.2	28	4145	28
Saint Georges	2001	3	21.9	31	19.8	13	30.6	31	32.2	18	26.3	299.6	31	7907	31
Saint Georges	2001	4	22.3	30	20.2	19	30.4	30	32.5	25	26.3	479.8	30	6692	30
Saint Georges	2001	5	22.9	31	21.0	26	30.1	31	32.5	16	26.5	658.6	31	4942	31
Saint Georges	2001	6	22.4	30	21.5	22	30.7	30	32.7	28	26.5	297.8	30	5538	29
Saint Georges	2001	7	21.5	31	20.0	3	31.5	31	34.0	28	26.5	302.4	31	9042	31
Saint Georges	2001	8	21.8	31	20.4	31	32.4	31	33.6	30	27.1	76.0	31	12282	31
Saint Georges	2001	9	21.5	30	20.5	4	33.8	30	35.1	8	27.7	30.8	30	13848	30
Saint Georges	2001	10	21.6	31	19.1	6	34.2	31	35.4	22	27.9	66.4	31	12918	31
Saint Georges	2001	11	21.6	30	20.3	11	33.7	30	34.7	25	27.6	25.8	30	11892	30
