"Year"	"Month"	"Day"	"TempMin"	"Matin.Piche"	"TempMax"	"Soir.Piche"	"Rainfall"	"Comments"	"Lacking"	"dates"	"julian"	"tminauto"	"tmaxauto"	"rainauto"	"tmine"	"tmaxe"	"raine"
2003	1	1	NA	NA	NA	NA	NA	""	"yes"	2003-01-01	1Jan2003	NA	NA	NA	NA	NA	NA
2003	1	2	NA	NA	NA	NA	NA	""	"yes"	2003-01-02	2Jan2003	NA	NA	NA	NA	NA	NA
2003	1	3	NA	NA	NA	NA	NA	""	"yes"	2003-01-03	3Jan2003	NA	NA	NA	NA	NA	NA
2003	1	4	NA	NA	NA	NA	NA	""	"yes"	2003-01-04	4Jan2003	NA	NA	NA	NA	NA	NA
2003	1	5	23	0	31.7	1.7	0.4	""	"no"	2003-01-05	5Jan2003	NA	NA	NA	23	31.7	0.4
2003	1	6	22.7	1.8	29.2	1.8	8.4	""	"no"	2003-01-06	6Jan2003	NA	NA	NA	22.7	29.2	8.4
2003	1	7	23.5	1.8	27.8	2	17.2	""	"no"	2003-01-07	7Jan2003	NA	NA	NA	23.5	27.8	17.2
2003	1	8	22.2	2	29.3	2.5	8.7	""	"no"	2003-01-08	8Jan2003	NA	NA	NA	22.2	29.3	8.7
2003	1	9	23	2.5	28.5	2.9	23.7	""	"no"	2003-01-09	9Jan2003	NA	NA	NA	23	28.5	23.7
2003	1	10	23	2.9	30.5	3.6	3.3	""	"no"	2003-01-10	10Jan2003	NA	NA	NA	23	30.5	3.3
2003	1	11	22.7	3.7	31	4.8	0.7	""	"no"	2003-01-11	11Jan2003	NA	NA	NA	22.7	31	0.7
2003	1	12	23.5	5.2	31.5	6.5	0	""	"no"	2003-01-12	12Jan2003	NA	NA	NA	23.5	31.5	0
2003	1	13	22	6.7	30.5	7.6	4.2	""	"no"	2003-01-13	13Jan2003	NA	NA	NA	22	30.5	4.2
2003	1	14	22	7.8	31.5	9.4	0.3	""	"no"	2003-01-14	14Jan2003	NA	NA	NA	22	31.5	0.3
2003	1	15	21.5	9.5	30	10.5	5.3	""	"no"	2003-01-15	15Jan2003	NA	NA	NA	21.5	30	5.3
2003	1	16	23	10.8	28.6	11.4	6.2	""	"no"	2003-01-16	16Jan2003	NA	NA	NA	23	28.6	6.2
2003	1	17	21.5	11.5	30	12.6	0.4	""	"no"	2003-01-17	17Jan2003	NA	NA	NA	21.5	30	0.4
2003	1	18	22	12.7	30.5	13.7	9.6	""	"no"	2003-01-18	18Jan2003	NA	NA	NA	22	30.5	9.6
2003	1	19	21.2	13.8	31.5	15.3	2.7	""	"no"	2003-01-19	19Jan2003	NA	NA	NA	21.2	31.5	2.7
2003	1	20	21.3	15.4	31.7	1.2	3.6	""	"no"	2003-01-20	20Jan2003	NA	NA	NA	21.3	31.7	3.6
2003	1	21	21.5	1.3	31	2.6	1	""	"no"	2003-01-21	21Jan2003	NA	NA	NA	21.5	31	1
2003	1	22	21	2.6	30.7	3.6	4.3	""	"no"	2003-01-22	22Jan2003	NA	NA	NA	21	30.7	4.3
2003	1	23	21	3.6	30.7	4.7	0.1	""	"no"	2003-01-23	23Jan2003	NA	NA	NA	21	30.7	0.1
2003	1	24	22.5	4.9	30	5.3	9.3	""	"no"	2003-01-24	24Jan2003	NA	NA	NA	22.5	30	9.3
2003	1	25	23.2	5.6	33.2	7.1	0.6	""	"no"	2003-01-25	25Jan2003	NA	NA	NA	23.2	33.2	0.6
2003	1	26	20.2	7.3	33.5	9.1	0.2	""	"no"	2003-01-26	26Jan2003	NA	NA	NA	20.2	33.5	0.2
2003	1	27	22	9.2	31.5	10.4	0	""	"no"	2003-01-27	27Jan2003	NA	NA	NA	22	31.5	0
2003	1	28	21.5	10.6	31.5	11.5	2.6	""	"no"	2003-01-28	28Jan2003	NA	NA	NA	21.5	31.5	2.6
2003	1	29	22.8	11.6	31	12.4	12.9	""	"no"	2003-01-29	29Jan2003	NA	NA	NA	22.8	31	12.9
2003	1	30	21.7	12.5	32	13.5	2.9	""	"no"	2003-01-30	30Jan2003	NA	NA	NA	21.7	32	2.9
2003	1	31	22.3	13.7	30.6	14.8	0.5	""	"no"	2003-01-31	31Jan2003	NA	NA	NA	22.3	30.6	0.5
2003	2	1	22	14.9	28.5	15.2	19.4	""	"no"	2003-02-01	1Feb2003	NA	NA	NA	22	28.5	19.4
2003	2	2	22	15.2	30.6	16	8.5	""	"no"	2003-02-02	2Feb2003	NA	NA	NA	22	30.6	8.5
2003	2	3	22.2	16	30	1	4.8	""	"no"	2003-02-03	3Feb2003	NA	NA	NA	22.2	30	4.8
2003	2	4	22	1	30.5	2.2	0.4	""	"no"	2003-02-04	4Feb2003	NA	NA	NA	22	30.5	0.4
2003	2	5	23	2.3	30.7	3.2	2.8	""	"no"	2003-02-05	5Feb2003	NA	NA	NA	23	30.7	2.8
2003	2	6	23.3	3.4	28.6	3.8	5.4	""	"no"	2003-02-06	6Feb2003	NA	NA	NA	23.3	28.6	5.4
2003	2	7	23	3.8	32.7	4.8	0.2	""	"no"	2003-02-07	7Feb2003	NA	NA	NA	23	32.7	0.2
2003	2	8	23	5	28.5	5.2	53.2	""	"no"	2003-02-08	8Feb2003	NA	NA	NA	23	28.5	53.2
2003	2	9	23.5	5.2	31	6.1	3.4	""	"no"	2003-02-09	9Feb2003	NA	NA	NA	23.5	31	3.4
2003	2	10	23.5	6.4	30.7	7.9	0.1	""	"no"	2003-02-10	10Feb2003	NA	NA	NA	23.5	30.7	0.1
2003	2	11	20.7	8.1	31.5	9.5	1.5	""	"no"	2003-02-11	11Feb2003	NA	NA	NA	20.7	31.5	1.5
2003	2	12	21.2	9.6	33	11.4	0.2	""	"no"	2003-02-12	12Feb2003	NA	NA	NA	21.2	33	0.2
2003	2	13	20	11.6	32.7	13.5	0.1	""	"no"	2003-02-13	13Feb2003	NA	NA	NA	20	32.7	0.1
2003	2	14	21	13.9	32.8	16	0.1	""	"no"	2003-02-14	14Feb2003	NA	NA	NA	21	32.8	0.1
2003	2	15	21	16.2	33	1.6	0.6	""	"no"	2003-02-15	15Feb2003	NA	NA	NA	21	33	0.6
2003	2	16	23	2.1	28	2.7	3.9	""	"no"	2003-02-16	16Feb2003	NA	NA	NA	23	28	3.9
2003	2	17	23	2.9	29	3.5	3.8	""	"no"	2003-02-17	17Feb2003	NA	NA	NA	23	29	3.8
2003	2	18	22.8	3.7	28.7	4.5	9.2	""	"no"	2003-02-18	18Feb2003	NA	NA	NA	22.8	28.7	9.2
2003	2	19	22.2	4.7	30.5	5.5	2.7	""	"no"	2003-02-19	19Feb2003	NA	NA	NA	22.2	30.5	2.7
2003	2	20	23	5.7	29.5	6.4	6	""	"no"	2003-02-20	20Feb2003	NA	NA	NA	23	29.5	6
2003	2	21	23	6.6	26.5	6.7	14.3	""	"no"	2003-02-21	21Feb2003	NA	NA	NA	23	26.5	14.3
2003	2	22	22.7	6.7	29.5	7.1	14.9	""	"no"	2003-02-22	22Feb2003	NA	NA	NA	22.7	29.5	14.9
2003	2	23	23	7.2	29.3	8.3	2.9	""	"no"	2003-02-23	23Feb2003	NA	NA	NA	23	29.3	2.9
2003	2	24	20.7	8.4	30	9.4	1.2	""	"no"	2003-02-24	24Feb2003	NA	NA	NA	20.7	30	1.2
2003	2	25	21	9.5	28	10.1	4.4	""	"no"	2003-02-25	25Feb2003	NA	NA	NA	21	28	4.4
2003	2	26	22.3	10.2	30	10.7	8.7	""	"no"	2003-02-26	26Feb2003	NA	NA	NA	22.3	30	8.7
2003	2	27	23	10.7	29.4	11	13.5	""	"no"	2003-02-27	27Feb2003	NA	NA	NA	23	29.4	13.5
2003	2	28	23	11.1	30.5	11.7	7	""	"no"	2003-02-28	28Feb2003	NA	NA	NA	23	30.5	7
2003	3	1	23	11.7	30.5	12.4	13.1	""	"no"	2003-03-01	1Mar2003	NA	NA	NA	23	30.5	13.1
