"species"	"mu"	"CImu2"	"CImu97"	"SD"	"CISD2"	"CISD97"	"logmu"	"CIlogmu2"	"CIlogmu97"	"logSD"	"CIlogSD2"	"CIlogSD97"	"bestSD"	"maxlik"
"Acacia tenuifolia"	320.963935162730	243.485345755195	397.492880108846	103.437397477643	57.107295272283	190.676213030692	3.28459340588184	-0.361335296583614	6.32302409509154	4.22954244838562	1.85435211312348	9.22717016233823	60.3739002530297	-838.916512658228
"Arrabidaea chica"	125.857898127326	99.5079911957108	153.544596518044	39.0524116608192	23.1374883519678	72.3807553229774	4.35730911300857	3.22403889458551	5.4540303882491	1.56253279380489	0.86870558837105	2.98699252336914	23.0610744038538	-1229.35565997348
"Bauhinia guianensis"	134.271342193795	84.3594635155567	185.052049504943	56.6603588106949	27.4513067458327	119.222826816011	0.129063097189861	-3.83338611716532	3.65700263870927	5.15540738399891	2.36843032274962	10.1217280130889	25.7035146660490	-158.736245412908
"Bombacaceae sp1"	71.3087336044045	44.8563534633527	99.3112926478277	34.7910512283723	15.0226455975114	68.5400981700359	1.8802176001773	0.430526116231412	3.19990835659955	1.90224756417362	0.984759810274223	3.58262068616671	29.1399835683460	-164.046955970188
"Coccoloba parimensis"	319.975570593882	276.191695792125	363.465090039575	48.307796670914	18.1294080424793	99.9672739473095	1.96760108280656	-0.294759841463193	3.93216584247153	2.82917137908887	1.31860770669720	6.10149318882804	95.5313261115585	-196.031068846701
"Cordia fulva"	111.628307611435	34.8133951996955	192.01174642867	103.351911530081	54.4343087692951	197.411754678067	-0.138924994645474	-4.25374260877845	3.28796666481123	4.77302360479226	2.04860391773379	9.85090569703361	34.4857990013099	-125.470851982826
"Couratari multiflora"	330.743990419692	257.172910794470	397.441846828301	92.5644416606994	50.8850874204991	169.764219340310	-0.0683615984507245	-3.41733722849607	3.08538486208521	4.44927583790215	2.14100330016112	8.55561479342065	23.5054516742947	-75.7444145935977
"Dicorynia guianensis"	162.398918876192	131.921069956868	193.698689171750	40.4627818547703	21.1790546502689	75.6699580980108	2.3533164517835	-1.28783138438523	5.74121968570619	4.72702303236749	2.32173512055698	9.20586819165856	27.9535561007778	-350.364689836921
"Diplotropis purpurea"	85.6590359596875	30.3396715946736	131.555993508850	47.1282295818315	17.9874545855072	108.877452677265	-0.519463492778178	-4.06816022385673	2.75094178945451	4.22681183938837	1.972058563424	8.4033059227985	19.5017488859121	-31.932436965292
"Eperua falcata"	70.0320723709376	15.3292691023779	118.159444999544	58.8577583476153	13.8608275683896	128.597773144581	0.419594747638274	-2.80674953334920	2.82957169280053	3.325400007103	1.27416784020179	7.00996513008133	27.1537379954878	-72.6168371347968
