sp	cycle	years	peakdays	CIpeakday	peak	CIpeak
Acacia tenuifolia	1	2001 - 2002	310.14 (nov6)	302.49-317.76 (oct29-nov13)	245.82	215.2 - 277.98
Acacia tenuifolia	2	2002 - 2003	285.97 (oct12)	281.16-290.57 (oct8-oct17)	698.43	649.35 - 749.93
Acacia tenuifolia	3	2003 - 2004	300.15 (oct27)	287.15-313 (oct14-nov9)	89.23	71.65 - 108.16
Acacia tenuifolia	4	2004 - 2005	219.57 (aug7)	199.31-239.82 (jul18-aug27)	52.13	37.63 - 69.79
Acacia tenuifolia	5	2005 - 2006	39.77 (feb8)	21.38-58.26 (jan21-feb27)	41.81	30.23 - 55.01
Acacia tenuifolia	6	2006 - 2007	212.23 (jul31)	182.84-239 (jul1-aug27)	80.16	52.13 - 120.47
Acacia tenuifolia	7	2007 - 2008	314.37 (nov10)	150.12-104.62 (may30-apr14 +1)	0.09	0 - 0.71
Acacia tenuifolia	8	2008 - 2009	81.35 (mar22)	49.97-113.89 (feb18-apr23)	17.06	10.14 - 26.23
Acacia tenuifolia	9	2009 - 2010	30.98 (jan30)	1.09-65.37 (jan1-mar6)	24.64	14.89 - 37.81
Arrabidaea chica	1	2001 - 2002	154.71 (jun3)	148.5-161.1 (may28-jun10)	53.45	39.41 - 68.79
Arrabidaea chica	2	2002 - 2003	135.07 (may15)	125.12-144.47 (may5-may24)	23.12	15.02 - 32.4
Arrabidaea chica	3	2003 - 2004	100.39 (apr10)	97.99-102.93 (apr7-apr12)	327.37	293.48 - 364.83
Arrabidaea chica	4	2004 - 2005	152.99 (jun1)	141.05-165.38 (may21-jun14)	14.18	7.86 - 22.47
Arrabidaea chica	5	2005 - 2006	108.88 (apr18)	107.06-110.84 (apr17-apr20)	579.3	533.15 - 625.79
Arrabidaea chica	6	2006 - 2007	176.06 (jun25)	168.21-183.81 (jun17-jul2)	73.23	58.22 - 90.41
Arrabidaea chica	7	2008 - 2008	97.86 (apr7)	94.51-101 (apr4-apr11)	203.36	175.3 - 232.75
Arrabidaea chica	8	2008 - 2009	125.57 (may5)	117.76-133.37 (apr27-may13)	83.81	66.79 - 102.94
Arrabidaea chica	9	2009 - 2010	75.6 (mar16)	67.32-83.83 (mar8-mar24)	29.27	19.53 - 41.28
Bauhinia guianensis	1	2001 - 2002	67.34 (mar8)	59.27-75.22 (feb28-mar16)	42.08	30.9 - 55.97
Bauhinia guianensis	2	2002 - 2003	153.88 (jun2)	139.02-169.51 (may19-jun18)	12.01	6.14 - 19.53
Bauhinia guianensis	3	2003 - 2004	167.5 (jun16)	157.38-177.48 (jun6-jun26)	29.19	20.19 - 40.15
Bauhinia guianensis	4	2004 - 2005	121.02 (may1)	74.23-166.82 (mar15-jun15)	1.13	0.04 - 4.01
Bauhinia guianensis	5	2005 - 2006	124 (may3)	104.67-143.83 (apr14-may23)	7.18	2.76 - 13.22
Bauhinia guianensis	6	2007 - 2007	133.67 (may13)	2.41-254.87 (jan2-sep11)	0.18	0 - 1.48
Bauhinia guianensis	7	2008 - 2008	131.05 (may11)	9.12-252.82 (jan9-sep9)	0.15	0 - 1.25
Bauhinia guianensis	8	2009 - 2009	181.1 (jun30)	173.97-187.75 (jun22-jul6)	66.18	50.41 - 83.66
Bauhinia guianensis	9	2010 - 2010	131.86 (may11)	0.98-256.52 (jan1-sep13)	0.21	0 - 1.55
Bombacaceae sp1	1	2001 - 2002	76.58 (mar17)	48.7-105.22 (feb17-apr15)	3.32	0.7 - 7.81
Bombacaceae sp1	2	2002 - 2003	81.05 (mar22)	67.69-94.82 (mar8-apr4)	18.13	10.47 - 27.67
Bombacaceae sp1	3	2003 - 2004	75.27 (mar16)	64.47-86.53 (mar5-mar27)	30.04	20.52 - 41.43
Bombacaceae sp1	4	2004 - 2005	53.45 (feb22)	34.21-73.03 (feb3-mar14)	8.15	3.64 - 14.6
Bombacaceae sp1	5	2005 - 2006	111.91 (apr21)	72.39-152.56 (mar13-jun1)	2.3	0.3 - 6.34
Bombacaceae sp1	6	2006 - 2007	50.32 (feb19)	43.83-57.47 (feb12-feb26)	70.15	55.23 - 86.96
Bombacaceae sp1	7	2007 - 2008	94.58 (apr4)	72.33-117.72 (mar13-apr27)	6.27	2.34 - 12.16
Bombacaceae sp1	8	2008 - 2009	22.37 (jan22)	345.42-62.47 (dec11-mar3)	3.29	0.65 - 8.04
Bombacaceae sp1	9	2009 - 2010	77 (mar17)	34.17-123.16 (feb3-may3)	1.3	0.05 - 4.53
Coccoloba parimensis	1	2001 - 2002	316.23 (nov12)	224.48-39.88 (aug12-feb8)	2.31	0.27 - 6.55
Coccoloba parimensis	2	2002 - 2003	343.48 (dec9)	285.26-41.56 (oct12-feb10)	7.41	2.98 - 13.78
Coccoloba parimensis	3	2003 - 2004	296.96 (oct23)	215.62-362.58 (aug3-dec28)	5.66	1.88 - 11.93
Coccoloba parimensis	4	2004 - 2005	302.75 (oct29)	266.17-333.3 (sep23-nov29)	45.07	31.76 - 59.92
Coccoloba parimensis	5	2005 - 2006	317.32 (nov13)	212.26-61.62 (jul31-mar2)	0.27	0 - 1.71
Coccoloba parimensis	6	2006 - 2007	13.02 (jan13)	340.1-46.41 (dec6-feb15)	40.68	28.78 - 55.02
Coccoloba parimensis	7	2007 - 2008	324.57 (nov20)	239.81-37.9 (aug27-feb6)	4.92	1.3 - 11.28
Coccoloba parimensis	8	2008 - 2009	314.1 (nov10)	270.95-349.81 (sep27-dec15)	43.98	30.67 - 60.64
Coccoloba parimensis	9	2009 - 2010	286.74 (oct13)	248.79-320.97 (sep5-nov16)	56.38	41.52 - 74.53
Cordia fulva	1	2001 - 2002	120.48 (apr30)	111.11-129.85 (apr21-may9)	57.21	43.31 - 72.59
Cordia fulva	2	2002 - 2003	258.14 (sep15)	193.57-304.37 (jul12-oct31)	1.01	0.02 - 3.62
Cordia fulva	3	2003 - 2004	105.04 (apr15)	95.9-114.73 (apr5-apr24)	52.18	38.36 - 67.44
Cordia fulva	4	2004 - 2005	12.91 (jan12)	314.73-87.07 (nov10-mar28)	1.17	0.03 - 4.35
Cordia fulva	5	2005 - 2006	1.49 (jan1)	312.23-59.03 (nov8-feb28)	2.33	0.27 - 6.56
Cordia fulva	6	2006 - 2007	148.05 (may28)	123.72-172.16 (may3-jun21)	7.99	3.46 - 14.26
Cordia fulva	7	2007 - 2008	119.36 (apr29)	327.64-287.1 (nov23-oct14)	0.05	0 - 0.48
Cordia fulva	8	2008 - 2009	116.21 (apr26)	322.98-278.79 (nov18-oct5)	0.13	0 - 1
Cordia fulva	9	2009 - 2010	129.53 (may9)	78.32-179.46 (mar19-jun28)	2.05	0.32 - 5.68
Couratari multiflora	1	2001 - 2002	354.08 (dec20)	305.49-38.9 (nov1-feb7)	1.05	0.03 - 3.55
Couratari multiflora	2	2002 - 2003	53.72 (feb22)	8.97-90.49 (jan8-mar31)	1.12	0.04 - 3.84
Couratari multiflora	3	2003 - 2004	240.87 (aug28)	233.4-248.57 (aug21-sep5)	80.19	63.72 - 99.03
Couratari multiflora	4	2004 - 2005	290.36 (oct17)	246.41-333.49 (sep3-nov29)	1	0.02 - 3.63
Couratari multiflora	5	2005 - 2006	66.85 (mar7)	51.73-83.33 (feb20-mar24)	8.94	4.16 - 15.98
Couratari multiflora	6	2006 - 2007	316.07 (nov12)	137.73-80.02 (may17-mar21)	0.17	0 - 1.15
Couratari multiflora	7	2007 - 2008	251.54 (sep8)	246.13-256.88 (sep3-sep13)	71.01	55.33 - 89.07
Couratari multiflora	8	2008 - 2009	317.01 (nov13)	144.18-80.04 (may24-mar21)	0.09	0 - 0.77
Couratari multiflora	9	2009 - 2010	353.33 (dec19)	303.28-43.22 (oct30-feb12)	1.11	0.03 - 4.08
Dicorynia guianensis	1	2001 - 2002	217.08 (aug5)	189.69-245.25 (jul8-sep2)	4.12	1.15 - 8.98
Dicorynia guianensis	2	2002 - 2003	135.1 (may15)	129.12-141.37 (may9-may21)	80.5	62.94 - 98.81
Dicorynia guianensis	3	2003 - 2003	134.18 (may14)	128.67-139.8 (may8-may19)	106.25	87.49 - 128.2
Dicorynia guianensis	4	2004 - 2004	164.02 (jun13)	149.87-177.1 (may29-jun26)	15.13	8.56 - 23.54
Dicorynia guianensis	5	2005 - 2005	182.07 (jul1)	176.01-187.9 (jun25-jul6)	115.18	95.96 - 136.15
Dicorynia guianensis	6	2006 - 2006	172.92 (jun21)	167.94-177.96 (jun16-jun26)	170.89	146.38 - 197.3
Dicorynia guianensis	7	2007 - 2007	162.89 (jun11)	75.45-255.67 (mar16-sep12)	0.15	0 - 1.09
Dicorynia guianensis	8	2008 - 2008	162.19 (jun11)	72.82-257.05 (mar13-sep14)	0.17	0 - 1.26
Dicorynia guianensis	9	2009 - 2009	175.94 (jun24)	173.41-178.39 (jun22-jun27)	662.77	611.3 - 713.89
Dicorynia guianensis	10	2010 - 2010	123.75 (may3)	106.24-140.3 (apr16-may20)	13.16	7.16 - 21.38
Diplotropis purpurea	1	2001 - 2002	68 (mar9)	58.84-76.91 (feb27-mar17)	18.17	10.69 - 27.19
Diplotropis purpurea	2	2002 - 2003	84.42 (mar25)	342.82-183.96 (dec8-jul2)	0.31	0 - 1.99
