sp	beginyr
Acacia tenuifolia	126
Aiouea guianensis	151
Arrabidaea chica	324
Arrabidaea mollis	313.5
Aspidosperma oblongum	288.5
Bauhinia guianensis	335
Bauhinia sp1	176
Bocoa prouacensis	208
Bombacaceae sp1	248.5
Bombacaceae sp3	236.5
Chrysophyllum lucentifolium	250
Coccoloba parimensis	151.5
Combretum rotundifolium	58
Cordia fulva	307
Couratari multiflora	93.5
Coussapoa sp1	328
Dendrobangia boliviana	341.5
Dicorynia guianensis	13
Diplotropis purpurea	218
Elvasia macrostipularis	160
Eperua falcata	220
Erisma uncinatum	175.5
Eschweilera coriacea	190.5
Eschweilera sagotiana	183
Euterpe oleracea	233.5
Forsteronia guyanensis	228
Gouania blanchetiana	348.5
Guatteria sp2	119
Guettarda acreana	65
Helicostylis pedunculata	318.5
Hippocratea volubilis	304
Hiraea fagifolia	34.5
Hiraea sp1	307.5
Hirtella sp1	150
Hymenolobium pulcherrimum	284
Inga alba	244
Inga jenmanii	20
Inga paraensis	209
Inga thibaudiana	226.5
Jessenia bataua	142.5
Lacmellea aculeata	294
Licania majuscula	165
Licania membranacea	224
Machaerium altiscandens	183
Machaerium sp1	293.5
Malpighiaceae sp1	300
Manilkara bidentata	325.5
Manilkara huberi	324
Marcgravia coriacea	328
Mendoncia hoffmannseggiana	343
Micropholis cayennensis	183
Micropholis guyanensis	238
Mimosa guilandinae	86.5
Mouriri crassifolia	240
Neea floribunda	183
Ocotea floribunda	183
Odontadenia sp2	138.5
Paullinia anodonta	240
Paullinia venosa	277.5
Pausandra sp1	197
Pourouma bicolor	231
Pourouma melinonii	210
Pourouma tomentosa	228.5
Pouteria filipes	279
Prionostemma aspera	342.5
Protium sagotianum	232
Pseudopiptadenia suaveolens	318
Psychotria anceps	126.5
Qualea rosea	215
Quararibea duckei	183
Rhodostemonodaphne kunthiana	112
Rourea frutescens	261
Satyria cerander	161
Serjania paucidentata	148
Sterculia pruriens	324
Stigmaphyllon sinuatum	121
Strychnos erichsonii	363
Tachigali melinonii	20
Terminalia guyanensis	211.5
Tetracera volubilis	335
Tetragastris altissima	202
Tetragastris panamensis	30
Tetrapterys crispa	223.5
Trattinnickia sp1	324
Unonopsis rufescens	49
Unonopsis stipitata	335.5
Virola kwatae	119
Virola michelii	218
Vochysia guianensis	304
Vouacapoua americana	262.5
Qualea dinizii	304
