"month"	"Year2"	"fruits"	"flowers"	"nbcens"	"fruitsb"	"flowersb"
2	2001	1.905	0.491375	1	1.905	0.491375
3	2001	4.441875	1.313125	2	2.2209375	0.6565625
4	2001	4.184	0.428625	2	2.092	0.2143125
5	2001	3.43975	1.37325	2	1.719875	0.686625
6	2001	4.472875	0.4	2	2.2364375	0.2
7	2001	2.535125	0.254375	2	1.2675625	0.1271875
8	2001	2.002125	1.289	2	1.0010625	0.6445
9	2001	2.50475	4.5175	3	0.834916666666667	1.50583333333333
10	2001	2.115625	9.066	2	1.0578125	4.533
11	2001	3.236875	3.74125	2	1.6184375	1.870625
12	2001	6.530291667	1.551583333	2	3.2651458335	0.7757916665
1	2002	11.415020834	0.704854166	3	3.80500694466667	0.234951388666667
2	2002	7.9044375	1.2060625	2	3.95221875	0.60303125
3	2002	9.2445	0.397875	2	4.62225	0.1989375
4	2002	6.500875	0.515875	2	3.2504375	0.2579375
5	2002	6.374375	0.2675	2	3.1871875	0.13375
6	2002	6.013375	0.1225	2	3.0066875	0.06125
7	2002	2.362375	1.073375	3	0.787458333333333	0.357791666666667
8	2002	0.94625	0.826875	2	0.473125	0.4134375
9	2002	1.674875	1.483625	2	0.8374375	0.7418125
10	2002	1.676	1.0445	2	0.838	0.52225
11	2002	1.87925	2.002	2	0.939625	1.001
12	2002	1.3670625	0.6713125	2	0.68353125	0.33565625
1	2003	2.2578125	1.9105625	3	0.752604166666667	0.636854166666667
2	2003	4.47425	1.041375	2	2.237125	0.5206875
3	2003	3.95375	0.342375	2	1.976875	0.1711875
4	2003	6.012125	0.51725	2	3.0060625	0.258625
5	2003	5.886	0.692875	2	2.943	0.3464375
6	2003	5.68125	0.62775	2	2.840625	0.313875
7	2003	4.467025	0.857025	3	1.48900833333333	0.285675
8	2003	1.35655	0.77755	2	0.678275	0.388775
9	2003	1.35655	0.77755	2	0.678275	0.388775
10	2003	0.8625	4.342125	2	0.43125	2.1710625
11	2003	1.6935	4.833125	2	0.84675	2.4165625
12	2003	3.904333334	1.486166666	3	1.30144444466667	0.495388888666667
1	2004	3.435166667	0.966833333	2	1.7175833335	0.4834166665
2	2004	5.408125	1.0715	2	2.7040625	0.53575
3	2004	6.37875	0.47225	2	3.189375	0.236125
4	2004	4.3405	0.939	2	2.17025	0.4695
5	2004	4.966875	0.884375	2	2.4834375	0.4421875
6	2004	7.1925	0.920375	3	2.3975	0.306791666666667
7	2004	1.387875	0.404	2	0.6939375	0.202
8	2004	1.1309375	0.8039375	2	0.56546875	0.40196875
