year	month	numbspp	estnumbspp	estimation
2001	2	12	12	no
2001	3	15	15	no
2001	4	18	18	no
2001	5	16	16	no
2001	6	8	8	no
2001	7	17	17	no
2001	8	12	12	no
2001	9	13	13	no
2001	10	8	8	no
2001	11	22	22	no
2001	12	20	20	no
2002	1	28	28	no
2002	2	33	33	no
2002	3	37	37	no
2002	4	35	35	no
2002	5	34	34	no
2002	6	25	25	no
2002	7	24	24	no
2002	8	13	13	no
2002	9	16	16	no
2002	10	13	13	no
2002	11	23	23	no
2002	12	12	12	no
2003	1	25	25	no
2003	2	24	24	no
2003	3	28	28	no
2003	4	32	32	no
2003	5	24	24	no
2003	6	22	22	no
2003	7	17	17	no
2003	8		11.5	yes
2003	9	23	11.5	yes
2003	10	16	16	no
2003	11	19	19	no
2003	12	17	17	no
2004	1	34	34	no
2004	2	33	33	no
2004	3	35	35	no
2004	4	41	41	no
2004	5	36	36	no
2004	6	31	31	no
2004	7	18	18	no
2004	8		9.5	yes
2004	9	19	9.5	yes
2004	10	21	21	no
2004	11	17	17	no
2004	12	18	18	no
2005	1	29	29	no
2005	2	25	25	no
2005	3	28	28	no
2005	4	26	26	no
2005	5	30	30	no
2005	6	26	26	no
2005	7	24	24	no
2005	8	22	22	no
2005	9	16	16	no
2005	10	18	18	no
2005	11	21	21	no
2005	12	28	28	no
2006	1	34	34	no
2006	2	38	38	no
2006	3	41	41	no
2006	4	45	45	no
2006	5	43	43	no
2006	6		16	yes
2006	7	32	16	yes
2006	8	31	31	no
2006	9	23	23	no
2006	10		18	yes
2006	11	36	18	yes
2006	12		12.3	yes
2007	1		12.3	yes
2007	2	37	12.3	yes
2007	3	27	27	no
2007	4	24	24	no
2007	5	34	34	no
2007	6		15.5	yes
2007	7	31	15.5	yes
2007	8	23	23	no
2007	9	19	19	no
2007	10	31	31	no
2007	11	18	18	no
2007	12		14.5	yes
2008	1	29	14.5	yes
2008	2	29	29	no
2008	3	31	31	no
2008	4	33	33	no
2008	5	29	29	no
2008	6		11.5	yes
2008	7	23	11.5	yes
2008	8	17	17	no
2008	9	14	14	no
2008	10	25	25	no
2008	11	21	21	no
2008	12		11.7	yes
2009	1		11.7	yes
2009	2	35	11.7	yes
2009	3	35	35	no
2009	4	35	35	no
2009	5		23.5	yes
2009	6	47	23.5	yes
2009	7	39	39	no
2009	8	27	27	no
2009	9		15	yes
2009	10	30	15	yes
2009	11	26	26	no
2009	12		13.5	yes
2010	1	27	13.5	yes
2010	2	28	28	no
2010	3	45	45	no
2010	4	25	25	no
2010	5		19	yes
2010	6	38	19	yes
2010	7	12	12	no
2010	8	17	17	no
2010	9		9.5	yes
2010	10	19	9.5	yes
2010	11	23	23	no
2010	12		9.3	yes
2011	1		9.3	yes
2011	2	28	9.3	yes
