longname	dispersal	variation	masting	season
Acacia tenuifolia 	ane	High	No	Wet
Bauhinia guianensis 	bal	Medium	No	Wet
Bombacaceae sp1	ane	Medium	No	Wet
Coccoloba excelsa 	zoo	Medium	No	Dry
Cordia fulva 	zoo	High	Yes	Wet
Couratari multiflora 	ane	High	Yes	Dry
Dicorynia guianensis 	ane	Medium	No	Wet
Diplotropis purpurea 	ane	Medium	Yes	Wet
Eperua falcata 	bal	Medium	Yes	Wet
Eschweilera sagotiana 	zoo	Medium	Yes	Wet
Forsteronia guyanensis 	ane	Low	No	Wet
Fridericia chica 	bal	Medium	No	Wet
Gouania blanchetiana 	ane	Medium	No	Wet
Hippocratea volubilis 	ane	Medium	No	Wet
Hymenolobium pulcherrimum 	ane	Medium	No	Wet
Licania majuscula 	zoo	Medium	Yes	Dry
Licania membranacea 	zoo	High	Yes	Wet
Machaerium microphyllum 	ane	High	Yes	Wet
Manilkara bidentata 	zoo	High	Yes	Wet
Manilkara huberi 	zoo	High	Yes	Wet
Mendoncia hoffmannseggiana 	zoo	Low	No	Wet
Micropholis guyanensis	zoo	Low	No	Wet
Mimosa guilandinae	ane	Medium	No	Dry
Neea floribunda 	zoo	Medium	Yes	Wet
Ocotea floribunda 	zoo	Low	No	Wet
Pourouma melinonii 	zoo	Low	No	Wet
Protium sagotianum 	zoo	Medium	No	Wet
Pseudopiptadenia suaveolens 	ane	Medium	No	Wet
Qualea rosea 	ane	Medium	Yes	Wet
Quararibea duckei	zoo	Medium	No	Wet
Rhodostemonodaphne kunthiana 	zoo	High	Yes	Dry
Rourea frutescens	zoo	Medium	No	Wet
Serjania paucidentata 	ane	Medium	No	Wet
Stenostomum acreanum	zoo	Low	No	Wet
Sterculia pruriens	zoo	Medium	Yes	Wet
Stigmaphyllon sinuatum	ane	Low	No	Dry
Strychnos erichsonii	zoo	High	No	Wet
Tachigali melinonii	ane	High	Yes	Wet
Terminalia guyanensis	ane	High	No	Wet
Tetragastris altissima	zoo	Low	Yes	Wet
Tetragastris panamensis	zoo	Low	No	Dry
Trattinnickia sp1	zoo	Low	No	Wet
Unonopsis stipitata	zoo	Medium	Yes	Wet
Virola michelii	zoo	Low	No	Wet
Vochysia guianensis	ane	High	Yes	Wet
