sp	longname	totseed	form	disp	fruit
Acacia tenuifolia	Acacia tenuifolia 	1207	Liana	ane	dry
Arrabidaea chica	Fridericia chica 	1385	Liana	bal	dry
Bauhinia guianensis	Bauhinia guianensis 	157	Liana	zoo	dry
Bombacaceae sp1	Bombacaceae sp1	141	Liana	ane	dry
Coccoloba parimensis	Coccoloba excelsa 	186	Tree	zoo	dry
Cordia fulva	Cordia fulva 	123	Tree	ane	dry
Couratari multiflora	Couratari multiflora 	164	Tree	ane	dry
Dicorynia guianensis	Dicorynia guianensis 	1163	Tree	ane	dry
Diplotropis purpurea	Diplotropis purpurea 	82	Tree	ane	dry
Eperua falcata	Eperua falcata 	56	Tree	zoo	fleshy
Eschweilera sagotiana	Eschweilera sagotiana 	24	Liana	ane	dry
Forsteronia guyanensis	Forsteronia guyanensis 	197	Liana	ane	dry
Gouania blanchetiana	Gouania blanchetiana 	4505	Liana	ane	dry
Guettarda acreana	Stenostomum acreanum 	1523	Liana	ane	dry
Hippocratea volubilis	Hippocratea volubilis 	659	Tree	ane	dry
Hymenolobium pulcherrimum	Hymenolobium pulcherrimum	409	Tree	zoo	fleshy 
Licania majuscula	Licania majuscula	182	Tree	zoo	fleshy 
Licania membranacea	Licania membranacea	1695	Liana	ane	dry
Machaerium altiscandens	Machaerium microphyllum	130	Tree	zoo	fleshy
Manilkara bidentata	Manilkara bidentata	120	Tree	zoo	fleshy
Manilkara huberi	Manilkara huberi	118	Liana	zoo	Fleshy
Mendoncia hoffmannseggiana	Mendoncia hoffmannseggiana	177	Tree	zoo	fleshy
Micropholis guyanensis	Micropholis guyanensis	1317	Liana	ane	dry
Mimosa guilandinae	Mimosa guilandinae	1115	Tree	zoo	fleshy
Neea floribunda	Neea floribunda	70	Tree	zoo	fleshy
Ocotea floribunda	Ocotea floribunda	315	Tree	zoo	fleshy
Pourouma melinonii	Pourouma melinonii	101	Tree	zoo	fleshy
Protium sagotianum	Protium sagotianum	271	Tree	ane	dry
Pseudopiptadenia suaveolens	Pseudopiptadenia suaveolens	558	Tree	ane	dry
Qualea dinizii	Qualea dinizii	752	Tree	ane	dry
Qualea rosea	Qualea rosea	149	Tree	zoo	Fleshy?
Quararibea duckei	Quararibea duckei	178	Tree	zoo	fleshy
Rhodostemonodaphne kunthiana	Rhodostemonodaphne kunthiana	17	Liana	zoo	Fleshy
Rourea frutescens	Rourea frutescens	233	Liana	ane	dry
Serjania paucidentata	Serjania paucidentata	162	Tree	zoo	fleshy
Sterculia pruriens	Sterculia pruriens	183	Tree	zoo	dry
Stigmaphyllon sinuatum	Stigmaphyllon sinuatum	216	Liana	ane	Dry
Strychnos erichsonii	Strychnos erichsonii	324	Liana	zoo	Fleshy
Tachigali melinonii	Tachigali melinonii	255	Tree	ane	Dry
Terminalia guyanensis	Terminalia guyanensis	150	Tree	ane	dry
Tetragastris altissima	Tetragastris altissima	198	Tree	zoo	Fleshy
Tetragastris panamensis	Tetragastris panamensis	195	Tree	zoo	fleshy
Trattinnickia sp1	Trattinnickia sp1	59	Tree	zoo	Fleshy
Unonopsis stipitata	Unonopsis stipitata	60	Tree	zoo	fleshy
Virola michelii	Virola michelii	118	Tree	zoo	fleshy
